text,label
Reunião confirmada para amanhã às 10h. Segue link do Google Meet.,produtivo
Segue o relatório de desempenho da equipe referente à última semana.,produtivo
Atualizamos o cronograma do projeto. Verifique a nova versão no Drive.,produtivo
"Boa tarde, o cliente aprovou a proposta. Iniciaremos na segunda-feira.",produtivo
"Conforme combinado, segue em anexo o contrato revisado para assinatura.",produtivo
Preciso do parecer jurídico até 17h para incluir no dossiê.,produtivo
Ata da reunião e próximos passos em anexo.,produtivo
Favor validar a planilha de custos antes do envio ao financeiro.,produtivo
Briefing atualizado do produto. Comentem até amanhã 12h.,produtivo
"Convite: workshop interno de OKRs (sexta, 9h).",produtivo
Acesso liberado ao repositório. Ver instruções no README.,produtivo
Pauta da daily de amanhã: bugs críticos e cronograma de sprint.,produtivo
Aprovação de orçamento necessária até o fim do dia.,produtivo
Documento de requisitos atualizado na pasta do projeto.,produtivo
Alinhamento com o time comercial às 15h. Sala 3B.,produtivo
Enviei a minuta do contrato com comentários. Aguardo retorno.,produtivo
Chamado aberto no suporte: priorizar correção de login.,produtivo
Material para apresentação de amanhã em anexo.,produtivo
Checklist de entrega final disponível no Jira.,produtivo
Lembrete: assinatura eletrônica pendente no DocuSign.,produtivo
Relatório financeiro do trimestre para revisão.,produtivo
Convite para revisão de código hoje às 14h.,produtivo
Planejamento da sprint publicado. Comentários até 18h.,produtivo
Solicitação de férias aprovada. Registrar no sistema.,produtivo
Favor enviar a NFe e o comprovante até amanhã.,produtivo
Onboarding do novo colaborador: materiais e acessos.,produtivo
Revisão do texto do release. Última versão no Drive.,produtivo
Proposta comercial v2 anexada. Ajustes destacados.,produtivo
Contrato assinado. Próximas etapas no anexo.,produtivo
Preciso do status do ticket #231 ainda hoje.,produtivo
Aproveite! 70% de desconto em toda a loja até meia-noite!,improdutivo
Alguém curtiu sua foto no Instagram — veja quem foi!,improdutivo
Assista agora às melhores séries do mês no Prime Video.,improdutivo
Você ganhou um cupom de R$30 no iFood!,improdutivo
Parabéns! Você ganhou pontos extras no cartão.,improdutivo
Receba ofertas exclusivas do dia. Não perca!,improdutivo
Seu amigo marcou você em um comentário.,improdutivo
Novidade imperdível: frete grátis só hoje!,improdutivo
Jogue agora e ganhe recompensas diárias!,improdutivo
Última chance! Promoção acaba em 2 horas.,improdutivo
Nova coleção de inverno já disponível. Confira!,improdutivo
Você foi selecionado para um prêmio especial!,improdutivo
Ingressos com 50% OFF para o festival.,improdutivo
Seu resumo diário do Twitter está pronto.,improdutivo
Seu vídeo foi recomendado para 1.000 pessoas!,improdutivo
Ganhe milhas em dobro nesta semana.,improdutivo
Você recebeu um presente exclusivo. Resgate aqui.,improdutivo
Seu pacote gamer chegou! Veja as novidades.,improdutivo
Sua assinatura expira em 24h. Renove agora.,improdutivo
Convite para participar do nosso sorteio!,improdutivo
Seja Premium e desbloqueie todos os recursos.,improdutivo
Assine já e tenha 3 meses grátis.,improdutivo
Live começando agora! Entre para assistir.,improdutivo
Promoção relâmpago: eletrônicos com 60% de desconto.,improdutivo
Bem-vindo de volta! Saldão de verão liberado.,improdutivo
Receba notificações em tempo real do seu time.,improdutivo
Descubra quem visitou seu perfil hoje.,improdutivo
Você tem mensagens não lidas no fórum.,improdutivo
Participe do nosso quiz e ganhe prêmios.,improdutivo
Sugestões personalizadas para você: top 10 filmes.,improdutivo
